
Assembly                                   FullName                                                                                                                                Name                                                     
Unity.Burst                                Unity.Burst.Intrinsics.X86+Unity.Burst.Intrinsics.DoGetCSRTrampoline_0000012A$PostfixBurstDelegate                                      DoGetCSRTrampoline_0000012A$PostfixBurstDelegate         
Unity.Burst                                Unity.Burst.Intrinsics.X86+Unity.Burst.Intrinsics.DoSetCSRTrampoline_00000129$PostfixBurstDelegate                                      DoSetCSRTrampoline_00000129$PostfixBurstDelegate         
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.CalculateEdgesFromLines_000002F6$PostfixBurstDelegate     CalculateEdgesFromLines_000002F6$PostfixBurstDelegate    
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.CalculateEdgesFromTriangles_000002F9$PostfixBurstDelegate CalculateEdgesFromTriangles_000002F9$PostfixBurstDelegate
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.CalculateLocalBounds_000002F3$PostfixBurstDelegate        CalculateLocalBounds_000002F3$PostfixBurstDelegate       
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.CalculateProjectionInfo_000002F0$PostfixBurstDelegate     CalculateProjectionInfo_000002F0$PostfixBurstDelegate    
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.CalculateTriangles_000002F2$PostfixBurstDelegate          CalculateTriangles_000002F2$PostfixBurstDelegate         
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.CalculateVertices_000002F1$PostfixBurstDelegate           CalculateVertices_000002F1$PostfixBurstDelegate          
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.ClipEdges_000002FD$PostfixBurstDelegate                   ClipEdges_000002FD$PostfixBurstDelegate                  
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.GenerateInteriorMesh_000002F4$PostfixBurstDelegate        GenerateInteriorMesh_000002F4$PostfixBurstDelegate       
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.GetVertexReferenceStats_000002F7$PostfixBurstDelegate     GetVertexReferenceStats_000002F7$PostfixBurstDelegate    
Unity.RenderPipelines.Universal.2D.Runtime UnityEngine.Rendering.Universal.ShadowUtility+UnityEngine.Rendering.Universal.ReverseWindingOrder_000002FA$PostfixBurstDelegate         ReverseWindingOrder_000002FA$PostfixBurstDelegate        
Unity.ResourceManager                      DelegateList`1                                                                                                                          DelegateList`1                                           
Unity.ResourceManager                      UnityEngine.ResourceManagement.Util.DelayedActionManager+DelegateInfo                                                                   DelegateInfo                                             
UnityEngine.DirectorModule                 UnityEngine.Playables.PlayableSystems+PlayableSystemDelegate                                                                            PlayableSystemDelegate                                   
UnityEngine.HierarchyCoreModule            Unity.Hierarchy.HierarchyTestsHelper+ForEachDelegate                                                                                    ForEachDelegate                                          
UnityEngine.IMGUIModule                    UnityEngine.GUISkin+SkinChangedDelegate                                                                                                 SkinChangedDelegate                                      
UnityEngine.MarshallingModule              UnityEngine.DelegateTests                                                                                                               DelegateTests                                            
UnityEngine.MarshallingModule              UnityEngine.DelegateTests+SomeDelegate                                                                                                  SomeDelegate                                             
UnityEngine.MarshallingModule              UnityEngine.DelegateTests+SomeDelegateFunctionPtr                                                                                       SomeDelegateFunctionPtr                                  
UnityEngine.PhysicsModule                  UnityEngine.Physics+ContactEventDelegate                                                                                                ContactEventDelegate                                     
UnityEngine.PropertiesModule               Unity.Properties.DelegateProperty`2                                                                                                     DelegateProperty`2                                       
UnityEngine.PropertiesModule               Unity.Properties.VisitContext`1+VisitDelegate                                                                                           VisitDelegate                                            
UnityEngine.PropertiesModule               Unity.Properties.VisitContext`1+VisitWithoutAdaptersDelegate                                                                            VisitWithoutAdaptersDelegate                             



